phy_code,year,inst_code,inst_tier
1644776f5ba8,2016,J2725,2
1644776f5ba8,2017,J2725,2
1644776f5ba8,2018,J2725,2
19c60e032a41,2015,J2741,2
19c60e032a41,2016,J2741,2
2.29253E+11,2014,J278704,2
2.29253E+11,2016,J2787,1
2.29253E+11,2017,J2787,1
2.29253E+11,2018,J2787,1
37622ed0d852,2014,J2787,1
37622ed0d852,2015,J2787,1
37622ed0d852,2016,J2787,1
37622ed0d852,2017,J2787,1
37622ed0d852,2018,J2787,1
39e96ec73001,2018,J2739,1
4be62fed8f78,2017,J2775,1
4ceaa04ac4fa,2014,J2719,2
4ceaa04ac4fa,2015,J2719,2
4ceaa04ac4fa,2016,J2719,2
4ceaa04ac4fa,2017,J2719,2
4ceaa04ac4fa,2018,J2719,2
5fd5961bf5c2,2014,J2784,1
5fd5961bf5c2,2015,J2784,1
5fd5961bf5c2,2016,J2784,1
5fd5961bf5c2,2017,J2784,1
5fd5961bf5c2,2018,J2784,1
61ef30504a80,2014,J278602,2
61ef30504a80,2015,J278602,2
61ef30504a80,2016,J278602,2
7222b7d9c4de,2016,J2789,3
750200b0f6ce,2016,J2744,3
750200b0f6ce,2017,J2744,3
750200b0f6ce,2018,J2744,3
8cc31f78fde5,2014,J2714,3
8cc31f78fde5,2015,J2714,3
8cc31f78fde5,2016,J2714,3
8cc31f78fde5,2017,J2714,3
8cc31f78fde5,2018,J2714,3
8daa2fa1f299,2017,J2789,3
8daa2fa1f299,2018,J2789,3
9617bcf1e90a,2016,J2783,1
9617bcf1e90a,2017,J278303,3
9efa0928cc46,2018,J2747,2
a7b53dc46495,2014,J278301,3
a7b53dc46495,2015,J278301,3
a7b53dc46495,2016,J278301,3
a7b53dc46495,2017,J278301,3
a7b53dc46495,2018,J278301,3
b1ae0752afe3,2018,J2729,1
c64a143b91c4,2014,J2778,3
c64a143b91c4,2015,J2778,3
c64a143b91c4,2016,J2778,3
c64a143b91c4,2017,J2778,3
c64a143b91c4,2018,J2778,3
c727ed9fcc5f,2017,J2787,1
c7ea8f6b49f2,2014,J2708,1
c7ea8f6b49f2,2015,J2708,1
c7ea8f6b49f2,2016,J2708,1
c7ea8f6b49f2,2017,J2708,1
c7ea8f6b49f2,2018,J2708,1
d5f6d9cb0440,2017,J278302,3
d5f6d9cb0440,2018,J278302,3
d9e4b9404405,2014,J2722,1
d9e4b9404405,2015,J2722,1
d9e4b9404405,2016,J2722,1
d9e4b9404405,2017,J2722,1
d9e4b9404405,2018,J2722,1
db14223c0788,2014,J2783,1
db14223c0788,2015,J2783,1
db14223c0788,2016,J2783,1
db14223c0788,2017,J2783,1
db14223c0788,2018,J2783,1
e26ce540ec16,2014,J2785,3
e26ce540ec16,2015,J2785,3
e26ce540ec16,2016,J2785,3
e26ce540ec16,2017,J2785,3
e26ce540ec16,2018,J2785,3
ea36da923ab5,2014,J2741,2
ea36da923ab5,2015,J2741,2
ea36da923ab5,2016,J2741,2
ea36da923ab5,2017,J2741,2
ea36da923ab5,2018,J2720,1
ec7d45cf5569,2014,J2787,1
ec7d45cf5569,2015,J2787,1
ec7d45cf5569,2016,J2787,1
ec7d45cf5569,2017,J2787,1
f0071a76eb14,2014,J2784,1
f0071a76eb14,2015,J2784,1
f0071a76eb14,2016,J2784,1
f0071a76eb14,2017,J2784,1
f1d561418110,2014,J278501,1
f1d561418110,2015,J278501,1
f1d561418110,2016,J278501,1
f1d561418110,2017,J278501,1
f1d561418110,2018,J278501,1
fcfac6d2e423,2014,J278501,1
fcfac6d2e423,2015,J278501,1
fcfac6d2e423,2016,J278501,1
fcfac6d2e423,2017,J278501,1
fcfac6d2e423,2018,J278501,1
